SUMLEV,REGION,DIVISION,STATE,Unnamed: 4,STNAME,CTYNAME,CENSUS2010POP
50,3,6,1,1,Alabama,Autauga,54571
50,3,6,1,3,Alabama,Baldwin,182265
50,3,6,1,5,Alabama,Barbour,27457
50,3,6,1,7,Alabama,Bibb,22915
50,3,6,1,9,Alabama,Blount,57322
50,3,6,1,11,Alabama,Bullock,10914
50,3,6,1,13,Alabama,Butler,20947
50,3,6,1,15,Alabama,Calhoun,118572
50,3,6,1,17,Alabama,Chambers,34215
50,3,6,1,19,Alabama,Cherokee,25989
50,3,6,1,21,Alabama,Chilton,43643
50,3,6,1,23,Alabama,Choctaw,13859
50,3,6,1,25,Alabama,Clarke,25833
50,3,6,1,27,Alabama,Clay,13932
50,3,6,1,29,Alabama,Cleburne,14972
50,3,6,1,31,Alabama,Coffee,49948
50,3,6,1,33,Alabama,Colbert,54428
50,3,6,1,35,Alabama,Conecuh,13228
50,3,6,1,37,Alabama,Coosa,11539
50,3,6,1,39,Alabama,Covington,37765
50,3,6,1,41,Alabama,Crenshaw,13906
50,3,6,1,43,Alabama,Cullman,80406
50,3,6,1,45,Alabama,Dale,50251
50,3,6,1,47,Alabama,Dallas,43820
50,3,6,1,49,Alabama,DeKalb,71109
50,3,6,1,51,Alabama,Elmore,79303
50,3,6,1,53,Alabama,Escambia,38319
50,3,6,1,55,Alabama,Etowah,104430
50,3,6,1,57,Alabama,Fayette,17241
50,3,6,1,59,Alabama,Franklin,31704
50,3,6,1,61,Alabama,Geneva,26790
50,3,6,1,63,Alabama,Greene,9045
50,3,6,1,65,Alabama,Hale,15760
50,3,6,1,67,Alabama,Henry,17302
50,3,6,1,69,Alabama,Houston,101547
50,3,6,1,71,Alabama,Jackson,53227
50,3,6,1,73,Alabama,Jefferson,658466
50,3,6,1,75,Alabama,Lamar,14564
50,3,6,1,77,Alabama,Lauderdale,92709
50,3,6,1,79,Alabama,Lawrence,34339
50,3,6,1,81,Alabama,Lee,140247
50,3,6,1,83,Alabama,Limestone,82782
50,3,6,1,85,Alabama,Lowndes,11299
50,3,6,1,87,Alabama,Macon,21452
50,3,6,1,89,Alabama,Madison,334811
50,3,6,1,91,Alabama,Marengo,21027
50,3,6,1,93,Alabama,Marion,30776
50,3,6,1,95,Alabama,Marshall,93019
50,3,6,1,97,Alabama,Mobile,412992
50,3,6,1,99,Alabama,Monroe,23068
50,3,6,1,101,Alabama,Montgomery,229363
50,3,6,1,103,Alabama,Morgan,119490
50,3,6,1,105,Alabama,Perry,10591
50,3,6,1,107,Alabama,Pickens,19746
50,3,6,1,109,Alabama,Pike,32899
50,3,6,1,111,Alabama,Randolph,22913
50,3,6,1,113,Alabama,Russell,52947
50,3,6,1,115,Alabama,St. Clair,83593
50,3,6,1,117,Alabama,Shelby,195085
50,3,6,1,119,Alabama,Sumter,13763
50,3,6,1,121,Alabama,Talladega,82291
50,3,6,1,123,Alabama,Tallapoosa,41616
50,3,6,1,125,Alabama,Tuscaloosa,194656
50,3,6,1,127,Alabama,Walker,67023
50,3,6,1,129,Alabama,Washington,17581
50,3,6,1,131,Alabama,Wilcox,11670
50,3,6,1,133,Alabama,Winston,24484
50,4,9,2,13,Alaska,Aleutians East Borough,3141
50,4,9,2,16,Alaska,Aleutians West Census Area,5561
50,4,9,2,20,Alaska,Anchorage Municipality,291826
50,4,9,2,50,Alaska,Bethel Census Area,17013
50,4,9,2,60,Alaska,Bristol Bay Borough,997
50,4,9,2,68,Alaska,Denali Borough,1826
50,4,9,2,70,Alaska,Dillingham Census Area,4847
50,4,9,2,90,Alaska,Fairbanks North Star Borough,97581
50,4,9,2,100,Alaska,Haines Borough,2508
50,4,9,2,105,Alaska,Hoonah-Angoon Census Area,2150
50,4,9,2,110,Alaska,Juneau  and Borough,31275
50,4,9,2,122,Alaska,Kenai Peninsula Borough,55400
50,4,9,2,130,Alaska,Ketchikan Gateway Borough,13477
50,4,9,2,150,Alaska,Kodiak Island Borough,13592
50,4,9,2,158,Alaska,Kusilvak Census Area,7459
50,4,9,2,164,Alaska,Lake and Peninsula Borough,1631
50,4,9,2,170,Alaska,Matanuska-Susitna Borough,88995
50,4,9,2,180,Alaska,Nome Census Area,9492
50,4,9,2,185,Alaska,North Slope Borough,9430
50,4,9,2,188,Alaska,Northwest Arctic Borough,7523
50,4,9,2,195,Alaska,Petersburg Borough,3815
50,4,9,2,198,Alaska,Prince of Wales-Hyder Census Area,5559
50,4,9,2,220,Alaska,Sitka  and Borough,8881
50,4,9,2,230,Alaska,Skagway Municipality,968
50,4,9,2,240,Alaska,Southeast Fairbanks Census Area,7029
50,4,9,2,261,Alaska,Valdez-Cordova Census Area,9636
50,4,9,2,275,Alaska,Wrangell  and Borough,2369
50,4,9,2,282,Alaska,Yakutat  and Borough,662
50,4,9,2,290,Alaska,Yukon-Koyukuk Census Area,5588
50,4,8,4,1,Arizona,Apache,71518
50,4,8,4,3,Arizona,Cochise,131346
50,4,8,4,5,Arizona,Coconino,134421
50,4,8,4,7,Arizona,Gila,53597
50,4,8,4,9,Arizona,Graham,37220
50,4,8,4,11,Arizona,Greenlee,8437
50,4,8,4,12,Arizona,La Paz,20489
50,4,8,4,13,Arizona,Maricopa,3817117
50,4,8,4,15,Arizona,Mohave,200186
50,4,8,4,17,Arizona,Navajo,107449
50,4,8,4,19,Arizona,Pima,980263
50,4,8,4,21,Arizona,Pinal,375770
50,4,8,4,23,Arizona,Santa Cruz,47420
50,4,8,4,25,Arizona,Yavapai,211033
50,4,8,4,27,Arizona,Yuma,195751
50,3,7,5,1,Arkansas,Arkansas,19019
50,3,7,5,3,Arkansas,Ashley,21853
50,3,7,5,5,Arkansas,Baxter,41513
50,3,7,5,7,Arkansas,Benton,221339
50,3,7,5,9,Arkansas,Boone,36903
